brightness,contrast,saturation,sharpness,dominant_color_1,dominant_color_2,dominant_color_3,image_name,raw_rating,rating
98.84,56.81,39.67,5715.76,"[187, 181, 176]","[41, 41, 38]","[120, 111, 103]",05d8eecc-b976-4909-9b46-562af2865c40.jpg,886.662,2.43
150.79,61.95,53.77,5876.07,"[235, 235, 233]","[97, 78, 58]","[170, 165, 155]",1.jpg,921.387,2.49
174.04,54.35,72.92,4710.06,"[105, 77, 60]","[235, 221, 212]","[188, 163, 140]",10.jpg,751.7055,2.2
176.39,59.05,39.9,5344.0,"[220, 215, 209]","[80, 62, 49]","[163, 152, 144]",100.jpg,842.9010000000001,2.36
188.26,41.66,19.34,3470.31,"[213, 210, 206]","[93, 88, 73]","[169, 163, 152]",102.jpg,557.9354999999999,1.87
177.4,54.03,48.47,3941.49,"[156, 138, 110]","[213, 204, 200]","[96, 84, 76]",103.jpg,633.2085,2.0
186.93,66.03,80.81,6067.4,"[222, 208, 189]","[37, 69, 66]","[169, 131, 95]",104.jpg,960.1754999999999,2.56
161.28,54.34,48.22,4062.92,"[193, 183, 180]","[66, 54, 42]","[152, 128, 102]",105.jpg,649.014,2.03
172.28,53.85,44.89,6184.25,"[207, 194, 185]","[89, 70, 61]","[162, 142, 129]",106.jpg,968.2905,2.57
163.2,52.7,52.65,4545.98,"[156, 133, 123]","[204, 194, 187]","[93, 65, 52]",107.jpg,722.1795,2.15
158.66,62.64,36.67,7454.11,"[200, 197, 192]","[57, 49, 41]","[127, 115, 101]",108.jpg,1156.812,2.89
149.36,57.55,46.99,4100.2,"[134, 118, 100]","[189, 180, 169]","[50, 39, 30]",109.jpg,653.115,2.03
138.39,70.98,97.19,3524.88,"[149, 124, 97]","[64, 44, 29]","[219, 207, 184]",11 Stunning Decorative Ceiling Ideas for Modern Homes - Melanie Jade Design.jpg,574.716,1.9
159.04,49.43,56.0,3108.29,"[147, 130, 109]","[80, 63, 48]","[196, 186, 171]",11.jpg,505.914,1.78
149.5,58.34,37.0,4336.75,"[139, 125, 113]","[204, 203, 199]","[76, 65, 56]",110.jpg,687.2384999999999,2.09
152.49,62.41,32.26,5070.11,"[62, 54, 47]","[207, 204, 199]","[145, 132, 120]",111.jpg,797.5904999999999,2.28
180.73,70.36,55.96,11399.59,"[223, 223, 217]","[39, 56, 71]","[160, 150, 128]",112.jpg,1755.9959999999999,3.91
178.12,50.75,34.18,4235.71,"[171, 160, 150]","[71, 60, 58]","[211, 208, 206]",113.jpg,674.814,2.07
169.41,62.01,50.99,9034.62,"[65, 54, 52]","[151, 138, 129]","[208, 206, 204]",114.jpg,1397.5545,3.3
164.8,70.13,73.46,4803.23,"[219, 204, 187]","[37, 44, 53]","[167, 141, 117]",115.jpg,766.7429999999999,2.23
189.49,40.53,27.37,2769.03,"[189, 179, 175]","[119, 98, 95]","[211, 213, 213]",117.jpg,453.963,1.7
